Date,Open,High,Low,Close,Adj Close,Volume
2020-04-27,1897.060059,1929.819946,1894.619995,1922.770020,1922.770020,735700
2020-04-28,1931.250000,1941.790039,1911.630005,1934.089966,1934.089966,1173500
2020-04-29,1936.890015,1957.510010,1934.310059,1947.560059,1947.560059,1984200
2020-05-04,1906.420044,1918.660034,1894.290039,1895.369995,1895.369995,1146900
2020-05-06,1919.449951,1928.760010,19025.550781,1928.760010,1928.760010,1082200
2020-05-07,1922.000000,1938.500000,1918.569946,1928.609985,1928.609985,775700
2020-05-08,1944.939941,1956.890015,1942.540039,1945.819946,1945.819946,784500
2020-05-11,1953.510010,1960.459961,1932.869995,1935.400024,1935.400024,591100
2020-05-12,1938.619995,1938.619995,1905.170044,1922.170044,1922.170044,799900
2020-05-13,1897.500000,1940.420044,1897.239990,1940.420044,1940.420044,618800
2020-05-14,1922.439941,1931.430054,1913.489990,1924.959961,1924.959961,760600
2020-05-15,1937.630005,1938.589966,1913.209961,1927.280029,1927.280029,866357
